hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"$50,000+ per year",144000,None,Not employed at this time,NA,No,No,NA,53
"$50,000+ per year",62000,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",116000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,68
"<$50,000 per year",18000,None,Not employed at this time,NA,Yes,No,NA,51
"$50,000+ per year",204000,One or more,Not employed at this time,NA,Yes,No,NA,20
"<$50,000 per year",42500,One or more,Not employed at this time,NA,No,Yes,NA,44
"$50,000+ per year",115000,One or more,Not employed at this time,NA,No,Yes,NA,70
"<$50,000 per year",40000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,56
"$50,000+ per year",147000,None,Not employed at this time,NA,Yes,No,NA,39
"<$50,000 per year",39000,One or more,Not employed at this time,NA,No,Yes,NA,83
"$50,000+ per year",152000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,70
"<$50,000 per year",12500,One or more,Employed part-time,Do all of your work from home,Yes,Yes,No,29
"<$50,000 per year",14500,None,Not employed at this time,NA,Yes,No,NA,31
"<$50,000 per year",1500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,74
"<$50,000 per year",39500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,24
"<$50,000 per year",38000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,No,31
"<$50,000 per year",0,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,63
"<$50,000 per year",40500,One or more,Not employed at this time,NA,No,No,NA,50
"<$50,000 per year",23500,One or more,Not employed at this time,NA,No,Yes,NA,82
"<$50,000 per year",41000,One or more,Employed full time,Do all of your work from home,Yes,Yes,Yes,62
"<$50,000 per year",14500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,65
"<$50,000 per year",47000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,56
"<$50,000 per year",29500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,46
"$50,000+ per year",69000,None,Employed full time,Do all of your work from home,Yes,No,Yes,34
"<$50,000 per year",28500,One or more,Not employed at this time,NA,No,Yes,NA,55
"<$50,000 per year",41500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"<$50,000 per year",31500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,63
"$50,000+ per year",131000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,40
"<$50,000 per year",31500,None,Employed full time,Do all of your work from home,Yes,No,No,32
"$50,000+ per year",80000,None,Not employed at this time,NA,No,No,NA,20
"<$50,000 per year",22000,One or more,Employed full time,Do all of your work from home,No,Yes,No,30
"<$50,000 per year",41000,One or more,Not employed at this time,NA,No,No,NA,54
"$50,000+ per year",76000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,22
"$50,000+ per year",76000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,20
"$50,000+ per year",108000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"$50,000+ per year",103000,One or more,Not employed at this time,NA,Yes,No,NA,73
"$50,000+ per year",165000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"<$50,000 per year",47500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,35
"$50,000+ per year",189000,None,Not employed at this time,NA,Yes,No,NA,44
"$50,000+ per year",68000,None,Not employed at this time,NA,Yes,No,NA,19
"<$50,000 per year",47000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,48
"<$50,000 per year",43500,None,Employed full time,Do all of your work from home,Yes,No,No,75
"<$50,000 per year",48500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,24
"$50,000+ per year",106000,None,Not employed at this time,NA,Yes,No,NA,52
"$50,000+ per year",106000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,50
"<$50,000 per year",34500,None,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",72000,None,Not employed at this time,NA,No,No,NA,27
"<$50,000 per year",40500,None,Not employed at this time,NA,Yes,No,NA,70
"<$50,000 per year",37000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,46
"<$50,000 per year",13000,One or more,Not employed at this time,NA,Yes,Yes,NA,43
"<$50,000 per year",36500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,26
"$50,000+ per year",61000,None,Not employed at this time,NA,Yes,No,NA,21
"$50,000+ per year",127000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,57
"<$50,000 per year",45000,One or more,Not employed at this time,NA,Yes,Yes,NA,42
"$50,000+ per year",132000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"$50,000+ per year",52000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,48
"$50,000+ per year",62000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,21
"$50,000+ per year",128000,None,Not employed at this time,NA,Yes,No,NA,41
"$50,000+ per year",132000,None,Not employed at this time,NA,No,No,NA,57
"$50,000+ per year",74000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,27
"<$50,000 per year",39000,One or more,Not employed at this time,NA,No,Yes,NA,70
"$50,000+ per year",82000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,27
"<$50,000 per year",47000,None,Not employed at this time,NA,No,No,NA,31
"<$50,000 per year",31000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,36
"$50,000+ per year",197000,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",0,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,52
"$50,000+ per year",143000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,33
"<$50,000 per year",25500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,59
"$50,000+ per year",248000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,45
"$50,000+ per year",450000,None,Not employed at this time,NA,No,No,NA,48
"<$50,000 per year",4500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,57
"<$50,000 per year",49000,None,Not employed at this time,NA,No,No,NA,57
"$50,000+ per year",68000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,61
"$50,000+ per year",143000,None,Not employed at this time,NA,Yes,No,NA,58
"$50,000+ per year",81000,None,Employed full time,Do all of your work from home,Yes,No,No,40
"<$50,000 per year",46000,None,Not employed at this time,NA,No,No,NA,36
"$50,000+ per year",60000,One or more,Not employed at this time,NA,No,No,NA,45
"<$50,000 per year",7000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,31
"<$50,000 per year",43500,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",36500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,44
"<$50,000 per year",24000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,33
"$50,000+ per year",111000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,40
"$50,000+ per year",223000,None,Employed full time,Do all of your work from home,Yes,No,Yes,52
"<$50,000 per year",5000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,35
"<$50,000 per year",7000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,60
"$50,000+ per year",233000,None,Not employed at this time,NA,Yes,No,NA,22
"<$50,000 per year",2500,None,Employed full time,Do all of your work from home,No,No,No,49
"<$50,000 per year",12500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,68
"<$50,000 per year",31500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,63
"$50,000+ per year",54000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,60
"<$50,000 per year",47000,None,Not employed at this time,NA,Yes,No,NA,26
"<$50,000 per year",45000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,22
"$50,000+ per year",57000,None,Employed part-time,Do all of your work from home,Yes,No,No,35
"$50,000+ per year",200000,One or more,Not employed at this time,NA,Yes,Yes,NA,67
"$50,000+ per year",182000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,53
"<$50,000 per year",46000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,52
"<$50,000 per year",49000,One or more,Not employed at this time,NA,Yes,Yes,NA,67
"<$50,000 per year",13000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,80
"$50,000+ per year",195000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,43
"$50,000+ per year",67000,One or more,Not employed at this time,NA,Yes,Yes,NA,55
"$50,000+ per year",193000,None,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",48500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,69
"$50,000+ per year",146000,None,Not employed at this time,NA,No,No,NA,28
"<$50,000 per year",5000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,60
"$50,000+ per year",50000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,51
"<$50,000 per year",38500,None,Not employed at this time,NA,No,No,NA,39
"<$50,000 per year",26500,One or more,Employed part-time,Do all of your work from home,No,Yes,No,42
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,64
"$50,000+ per year",137000,None,Not employed at this time,NA,Yes,No,NA,69
"$50,000+ per year",221000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"$50,000+ per year",148000,One or more,Not employed at this time,NA,Yes,No,NA,48
"$50,000+ per year",147000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,37
"$50,000+ per year",100000,One or more,Employed full time,Do all of your work from home,Yes,No,No,38
"$50,000+ per year",132000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,56
"<$50,000 per year",0,None,Not employed at this time,NA,Yes,No,NA,55
"$50,000+ per year",85000,None,Not employed at this time,NA,Yes,No,NA,35
"$50,000+ per year",94000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,69
"$50,000+ per year",181000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,48
"$50,000+ per year",105000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,51
"<$50,000 per year",40000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,33
"<$50,000 per year",42500,One or more,Not employed at this time,NA,No,Yes,NA,49
"$50,000+ per year",132000,One or more,Not employed at this time,NA,Yes,No,NA,59
"$50,000+ per year",132000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,38
"<$50,000 per year",43000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,60
"<$50,000 per year",47500,One or more,Not employed at this time,NA,Yes,Yes,NA,67
"$50,000+ per year",60000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"<$50,000 per year",43000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,68
"$50,000+ per year",91000,None,Not employed at this time,NA,No,No,NA,48
"$50,000+ per year",98000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,25
"$50,000+ per year",126000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,19
"$50,000+ per year",139000,One or more,Employed full time,Do all of your work from home,No,No,No,68
"<$50,000 per year",11500,One or more,Employed full time,Do all of your work from home,Yes,No,No,63
"<$50,000 per year",28500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,41
"<$50,000 per year",4500,One or more,Employed part-time,Do all of your work from home,Yes,Yes,Yes,54
"<$50,000 per year",48000,One or more,Not employed at this time,NA,Yes,Yes,NA,22
"$50,000+ per year",147000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,42
"$50,000+ per year",77000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,Yes,57
"<$50,000 per year",23500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,30
"<$50,000 per year",39500,One or more,Not employed at this time,NA,No,Yes,NA,40
"<$50,000 per year",32500,One or more,Not employed at this time,NA,No,No,NA,51
"$50,000+ per year",89000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,46
"$50,000+ per year",80000,None,Not employed at this time,NA,Yes,No,NA,25
"<$50,000 per year",29000,One or more,Employed full time,Do all of your work from home,Yes,Yes,No,38
"<$50,000 per year",26000,One or more,Not employed at this time,NA,No,Yes,NA,59
"$50,000+ per year",153000,None,Employed part-time,Do all of your work from home,No,No,Yes,58
"<$50,000 per year",11500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,Yes,38
"$50,000+ per year",77000,None,Not employed at this time,NA,No,No,NA,58
"$50,000+ per year",72000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,36
"$50,000+ per year",71000,None,Not employed at this time,NA,Yes,No,NA,36
"$50,000+ per year",140000,None,Not employed at this time,NA,No,No,NA,32
"$50,000+ per year",197000,None,Not employed at this time,NA,Yes,No,NA,61
"<$50,000 per year",24500,None,Not employed at this time,NA,No,No,NA,21
"$50,000+ per year",59000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,69
"$50,000+ per year",182000,None,Not employed at this time,NA,Yes,No,NA,82
"$50,000+ per year",160000,None,Employed full time,Do all of your work from home,Yes,No,Yes,32
"$50,000+ per year",219000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,36
"<$50,000 per year",2500,None,Employed full time,Do all of your work from home,Yes,No,No,35
"$50,000+ per year",119000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,48
"$50,000+ per year",131000,None,Not employed at this time,NA,No,No,NA,68
"$50,000+ per year",97000,None,Not employed at this time,NA,Yes,No,NA,30
"$50,000+ per year",131000,None,Employed full time,Do all of your work from home,No,No,No,51
"$50,000+ per year",109000,One or more,Not employed at this time,NA,Yes,Yes,NA,20
"$50,000+ per year",223000,None,Not employed at this time,NA,Yes,No,NA,53
"<$50,000 per year",7500,None,Not employed at this time,NA,Yes,No,NA,34
"$50,000+ per year",63000,One or more,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",31500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,63
"$50,000+ per year",197000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,76
"$50,000+ per year",113000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,70
"<$50,000 per year",2500,One or more,Employed full time,Do all of your work from home,No,No,No,23
"<$50,000 per year",48000,One or more,Not employed at this time,NA,Yes,No,NA,28
"<$50,000 per year",49000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"<$50,000 per year",47000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,58
"<$50,000 per year",12500,One or more,Employed full time,Do all of your work from home,No,No,No,48
"<$50,000 per year",35500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,64
"<$50,000 per year",2500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,23
"$50,000+ per year",82000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,66
"<$50,000 per year",23000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"<$50,000 per year",3000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,63
"<$50,000 per year",45500,None,Not employed at this time,NA,Yes,No,NA,20
"<$50,000 per year",45500,One or more,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",65000,One or more,Not employed at this time,NA,Yes,Yes,NA,30
"$50,000+ per year",78000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,28
"$50,000+ per year",112000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,18
"<$50,000 per year",28000,One or more,Not employed at this time,NA,No,No,NA,67
"$50,000+ per year",115000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"$50,000+ per year",72000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"<$50,000 per year",41000,One or more,Not employed at this time,NA,Yes,No,NA,18
"$50,000+ per year",82000,One or more,Not employed at this time,NA,No,No,NA,46
"$50,000+ per year",142000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,55
"$50,000+ per year",140000,None,Not employed at this time,NA,No,No,NA,48
"<$50,000 per year",14000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,47
"$50,000+ per year",199000,None,Not employed at this time,NA,No,No,NA,43
"$50,000+ per year",122000,None,Not employed at this time,NA,No,No,NA,44
"$50,000+ per year",74000,None,Not employed at this time,NA,Yes,No,NA,29
"$50,000+ per year",157000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,26
"$50,000+ per year",116000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,37
"$50,000+ per year",132000,None,Employed full time,Do all of your work from home,Yes,No,No,68
"<$50,000 per year",13000,None,Not employed at this time,NA,Yes,No,NA,60
"$50,000+ per year",248000,One or more,Employed full time,Do all of your work from home,No,Yes,No,34
"$50,000+ per year",160000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,46
"$50,000+ per year",129000,None,Not employed at this time,NA,No,No,NA,38
"<$50,000 per year",43000,None,Employed full time,Do all of your work at a workplace outside of your home,Don’t know/Refused/Web blank,No,Yes,27
"$50,000+ per year",171000,None,Not employed at this time,NA,No,No,NA,30
"<$50,000 per year",7500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,62
"<$50,000 per year",21000,One or more,Not employed at this time,NA,Yes,No,NA,67
"$50,000+ per year",74000,None,Employed full time,Do all of your work from home,No,No,No,38
"$50,000+ per year",68000,One or more,Not employed at this time,NA,No,No,NA,52
"<$50,000 per year",40500,None,Not employed at this time,NA,Yes,No,NA,39
"<$50,000 per year",46500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,34
"$50,000+ per year",116000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",45500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,48
"$50,000+ per year",93000,None,Not employed at this time,NA,No,No,NA,36
"<$50,000 per year",14000,None,Not employed at this time,NA,Yes,No,NA,30
"$50,000+ per year",93000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,32
"$50,000+ per year",68000,None,Employed full time,Do all of your work from home,Yes,No,No,25
"$50,000+ per year",63000,None,Not employed at this time,NA,No,No,NA,56
"$50,000+ per year",132000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,37
"<$50,000 per year",45500,One or more,Not employed at this time,NA,No,Yes,NA,81
"<$50,000 per year",32000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,Yes,No,52
"<$50,000 per year",40000,One or more,Not employed at this time,NA,Yes,Yes,NA,64
"<$50,000 per year",9000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,24
"<$50,000 per year",42500,One or more,Not employed at this time,NA,Yes,Yes,NA,31
"<$50,000 per year",28500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,57
"$50,000+ per year",135000,None,Not employed at this time,NA,No,No,NA,47
"<$50,000 per year",42500,None,Not employed at this time,NA,Yes,No,NA,50
"$50,000+ per year",53000,None,Not employed at this time,NA,Yes,No,NA,18
"<$50,000 per year",45500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,41
"<$50,000 per year",38000,None,Not employed at this time,NA,No,No,NA,31
"$50,000+ per year",850000,None,Not employed at this time,NA,No,No,NA,58
"<$50,000 per year",44500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",44500,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,48
"<$50,000 per year",500,One or more,Not employed at this time,NA,Yes,No,NA,38
"$50,000+ per year",246000,None,Not employed at this time,NA,Yes,No,NA,54
"$50,000+ per year",178000,None,Not employed at this time,NA,No,No,NA,53
"<$50,000 per year",34000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,47
"<$50,000 per year",8500,One or more,Not employed at this time,NA,Yes,Yes,NA,70
"<$50,000 per year",7000,One or more,Not employed at this time,NA,Yes,No,NA,18
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,61
"<$50,000 per year",39000,None,Not employed at this time,NA,Yes,No,NA,60
"<$50,000 per year",38000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,57
"<$50,000 per year",40500,One or more,Not employed at this time,NA,No,Yes,NA,59
"$50,000+ per year",95000,None,Not employed at this time,NA,Yes,No,NA,39
"<$50,000 per year",8500,None,Not employed at this time,NA,Yes,No,NA,35
"<$50,000 per year",31000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,26
"<$50,000 per year",8000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,30
"<$50,000 per year",42500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,60
"$50,000+ per year",116000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,24
"<$50,000 per year",9000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,Yes,73
"$50,000+ per year",81000,None,Not employed at this time,NA,Yes,No,NA,44
"<$50,000 per year",23500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"<$50,000 per year",40500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"<$50,000 per year",22500,One or more,Not employed at this time,NA,Yes,Yes,NA,64
"$50,000+ per year",950000,One or more,Employed full time,Do all of your work from home,No,Yes,No,63
"<$50,000 per year",17000,One or more,Not employed at this time,NA,Yes,No,NA,24
"<$50,000 per year",4000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,65
"$50,000+ per year",212000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,54
"<$50,000 per year",13500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,60
"<$50,000 per year",45500,One or more,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,33
"<$50,000 per year",1000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,21
"<$50,000 per year",44000,One or more,Not employed at this time,NA,Yes,No,NA,25
"<$50,000 per year",14500,One or more,Not employed at this time,NA,Yes,Yes,NA,55
"$50,000+ per year",65000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,24
"<$50,000 per year",6500,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,31
"$50,000+ per year",59000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,41
"<$50,000 per year",4500,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,68
"$50,000+ per year",98000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,21
"<$50,000 per year",26000,None,Not employed at this time,NA,No,No,NA,46
"<$50,000 per year",46500,None,Not employed at this time,NA,No,No,NA,47
"$50,000+ per year",85000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,67
"$50,000+ per year",64000,None,Not employed at this time,NA,Yes,No,NA,32
"<$50,000 per year",14000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,54
"$50,000+ per year",92000,None,Not employed at this time,NA,No,No,NA,18
"$50,000+ per year",201000,None,Employed part-time,Do all of your work from home,Yes,No,No,60
"<$50,000 per year",37000,None,Not employed at this time,NA,No,No,NA,43
"$50,000+ per year",107000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,30
"<$50,000 per year",27000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,44
"$50,000+ per year",118000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,36
"<$50,000 per year",4500,None,Not employed at this time,NA,No,No,NA,60
"$50,000+ per year",73000,None,Not employed at this time,NA,No,No,NA,63
"$50,000+ per year",101000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,43
"<$50,000 per year",20500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,64
"$50,000+ per year",130000,None,Employed part-time,Do all of your work from home,No,No,No,35
"<$50,000 per year",13500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,32
"<$50,000 per year",37500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,52
"<$50,000 per year",3000,One or more,Not employed at this time,NA,No,No,NA,69
"$50,000+ per year",104000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,66
"<$50,000 per year",19500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Don’t know/Refused/Web blank,No,No,51
"$50,000+ per year",93000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,Yes,31
"$50,000+ per year",114000,One or more,Not employed at this time,NA,No,Yes,NA,67
"<$50,000 per year",3000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,24
"<$50,000 per year",42000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,59
"$50,000+ per year",157000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Don’t know/Refused/Web blank,No,No,33
"$50,000+ per year",111000,One or more,Not employed at this time,NA,Yes,Yes,NA,59
"$50,000+ per year",152000,None,Employed full time,Do all of your work from home,No,No,Yes,32
"$50,000+ per year",58000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,63
"<$50,000 per year",10500,One or more,Not employed at this time,NA,Yes,Yes,NA,27
"$50,000+ per year",66000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,54
"$50,000+ per year",241000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,77
"<$50,000 per year",41500,One or more,Not employed at this time,NA,No,Yes,NA,25
"<$50,000 per year",35000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,39
"<$50,000 per year",14000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,55
"$50,000+ per year",169000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,37
"<$50,000 per year",9500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,50
"$50,000+ per year",136000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,40
"$50,000+ per year",100000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,19
"$50,000+ per year",52000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",6500,One or more,Not employed at this time,NA,No,No,NA,70
"<$50,000 per year",31500,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,33
"<$50,000 per year",38000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,37
"$50,000+ per year",113000,None,Not employed at this time,NA,No,No,NA,39
"<$50,000 per year",41000,One or more,Not employed at this time,NA,Yes,No,NA,25
"$50,000+ per year",64000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,31
"<$50,000 per year",8500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,55
"$50,000+ per year",120000,None,Not employed at this time,NA,No,No,NA,49
